date,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps_in_rs,dividend_payout_percent,company_name,net_profit_margin,operating_profit_margin,tax_amount,dividend_yield,interest_coverage_ratio,yoy_sales_growth,yoy_net_profit_growth
Mar 2023,16301.0,13470.0,2831.0,17.0,597.0,169.0,226.0,3033.0,24.0,2316.0,96.39,75.0,BRITANNIA,14.21,17.37,727.92,72.29,16.75,15.32,52.77
Mar 2024,16769.0,13603.0,3167.0,19.0,211.0,164.0,300.0,2913.0,27.0,2134.0,88.84,83.0,BRITANNIA,12.73,18.89,786.51,73.74,19.31,2.87,-7.86
Mar 2013,6140.0,5148.0,992.0,16.0,100.0,59.0,85.0,948.0,19.0,766.0,4.38,34.0,DABUR,12.48,16.16,180.12,1.49,16.81,,
Mar 2014,7058.0,5897.0,1162.0,16.0,126.0,54.0,97.0,1136.0,19.0,916.0,5.24,33.0,DABUR,12.98,16.46,215.84,1.73,21.52,14.95,19.58
Mar 2015,7795.0,6475.0,1320.0,17.0,154.0,40.0,115.0,1319.0,19.0,1068.0,6.07,33.0,DABUR,13.7,16.93,250.61,2.0,33.0,10.44,16.59
Mar 2016,7780.0,6261.0,1518.0,20.0,217.0,48.0,133.0,1554.0,19.0,1254.0,7.11,32.0,DABUR,16.12,19.51,295.26,2.28,31.63,-0.19,17.42
Mar 2017,7614.0,6102.0,1512.0,20.0,296.0,54.0,143.0,1611.0,21.0,1280.0,7.25,31.0,DABUR,16.81,19.86,338.31,2.25,28.0,-2.13,2.07
Mar 2018,7722.0,6104.0,1617.0,21.0,291.0,53.0,162.0,1693.0,20.0,1358.0,7.69,81.0,DABUR,17.59,20.94,338.6,6.23,30.51,1.42,6.09
Mar 2019,8515.0,6775.0,1740.0,20.0,222.0,60.0,177.0,1725.0,16.0,1446.0,8.17,34.0,DABUR,16.98,20.43,276.0,2.78,29.0,10.27,6.48
Mar 2020,8685.0,6892.0,1792.0,21.0,205.0,50.0,220.0,1728.0,16.0,1448.0,8.18,37.0,DABUR,16.67,20.63,276.48,3.03,35.84,2.0,0.14
Mar 2021,9562.0,7560.0,2002.0,21.0,325.0,31.0,240.0,2056.0,18.0,1695.0,9.58,50.0,DABUR,17.73,20.94,370.08,4.79,64.58,10.1,17.06
Mar 2022,10889.0,8637.0,2252.0,21.0,308.0,39.0,253.0,2269.0,23.0,1742.0,9.84,53.0,DABUR,16.0,20.68,521.87,5.22,57.74,13.88,2.77
Mar 2023,11530.0,9367.0,2162.0,19.0,445.0,78.0,311.0,2219.0,23.0,1701.0,9.64,54.0,DABUR,14.75,18.75,510.37,5.21,27.72,5.89,-2.35
Mar 2024,12404.0,10004.0,2400.0,19.0,482.0,124.0,399.0,2359.0,23.0,1811.0,10.4,53.0,DABUR,14.6,19.35,542.57,5.51,19.35,7.58,6.47
Mar 2013,1595.0,1252.0,343.0,22.0,54.0,7.0,22.0,369.0,15.0,315.0,6.93,38.0,EMAMILTD,19.75,21.5,55.35,2.63,49.0,,
Mar 2014,1700.0,1255.0,445.0,26.0,53.0,5.0,35.0,457.0,12.0,402.0,8.87,39.0,EMAMILTD,23.65,26.18,54.84,3.46,89.0,6.58,27.62
Mar 2015,2076.0,1536.0,541.0,26.0,91.0,5.0,34.0,592.0,18.0,485.0,10.7,33.0,EMAMILTD,23.36,26.06,106.56,3.53,108.2,22.12,20.65
Mar 2016,2358.0,1670.0,688.0,29.0,44.0,54.0,255.0,423.0,14.0,363.0,8.0,44.0,EMAMILTD,15.39,29.18,59.22,3.52,12.74,13.58,-25.15
Mar 2017,2488.0,1729.0,759.0,31.0,31.0,58.0,309.0,424.0,20.0,340.0,7.5,47.0,EMAMILTD,13.67,30.51,84.8,3.53,13.09,5.51,-6.34
Mar 2018,2531.0,1812.0,719.0,28.0,19.0,34.0,311.0,393.0,22.0,306.0,6.77,52.0,EMAMILTD,12.09,28.41,86.46,3.52,21.15,1.73,-10.0
Mar 2019,2695.0,1970.0,725.0,27.0,25.0,21.0,325.0,403.0,25.0,303.0,6.68,60.0,EMAMILTD,11.24,26.9,100.75,4.01,34.52,6.48,-0.98
Mar 2020,2655.0,1970.0,685.0,26.0,46.0,21.0,336.0,374.0,19.0,302.0,6.67,60.0,EMAMILTD,11.37,25.8,71.06,4.0,32.62,-1.48,-0.33
Mar 2021,2881.0,2000.0,880.0,31.0,69.0,13.0,367.0,569.0,20.0,455.0,10.23,78.0,EMAMILTD,15.79,30.54,113.8,7.98,67.69,8.51,50.66
Mar 2022,3192.0,2254.0,938.0,29.0,90.0,5.0,335.0,688.0,-22.0,837.0,19.02,42.0,EMAMILTD,26.22,29.39,-151.36,7.99,187.6,10.79,83.96
Mar 2023,3406.0,2550.0,855.0,25.0,69.0,7.0,247.0,670.0,6.0,627.0,14.5,55.0,EMAMILTD,18.41,25.1,40.2,7.98,122.14,6.7,-25.09
Mar 2024,3578.0,2632.0,946.0,26.0,41.0,10.0,186.0,791.0,8.0,724.0,16.58,48.0,EMAMILTD,20.23,26.44,63.28,7.96,94.6,5.05,15.47
Mar 2013,6412.0,5417.0,995.0,16.0,194.0,87.0,77.0,1025.0,17.0,845.0,7.8,22.0,GODREJCP,13.18,15.52,174.25,1.72,11.44,,
Mar 2014,7599.0,6430.0,1169.0,15.0,62.0,120.0,82.0,1030.0,20.0,819.0,7.44,24.0,GODREJCP,10.78,15.38,206.0,1.79,9.74,18.51,-3.08
Mar 2015,8273.0,6894.0,1379.0,17.0,73.0,112.0,91.0,1249.0,22.0,976.0,8.88,21.0,GODREJCP,11.8,16.67,274.78,1.86,12.31,8.87,19.17
Mar 2016,8424.0,6766.0,1657.0,20.0,-262.0,128.0,101.0,1167.0,29.0,831.0,8.1,24.0,GODREJCP,9.86,19.67,338.43,1.94,12.95,1.83,-14.86
Mar 2017,9268.0,7361.0,1907.0,21.0,76.0,154.0,142.0,1687.0,22.0,1308.0,12.76,39.0,GODREJCP,14.11,20.58,371.14,4.98,12.38,10.02,57.4
Mar 2018,9847.0,7763.0,2084.0,21.0,283.0,173.0,156.0,2039.0,20.0,1634.0,15.99,42.0,GODREJCP,16.59,21.16,407.8,6.72,12.05,6.25,24.92
Mar 2019,10314.0,8183.0,2132.0,21.0,362.0,238.0,170.0,2085.0,-12.0,2342.0,22.91,44.0,GODREJCP,22.71,20.67,-250.2,10.08,8.96,4.74,43.33
Mar 2020,9911.0,7757.0,2154.0,22.0,32.0,228.0,197.0,1760.0,15.0,1497.0,14.64,55.0,GODREJCP,15.1,21.73,264.0,8.05,9.45,-3.91,-36.08
Mar 2021,11029.0,8629.0,2399.0,22.0,23.0,138.0,204.0,2080.0,17.0,1721.0,16.83,0.0,GODREJCP,15.6,21.75,353.6,0.0,17.38,11.28,14.96
Mar 2022,12276.0,9867.0,2409.0,20.0,78.0,122.0,210.0,2155.0,17.0,1783.0,17.44,0.0,GODREJCP,14.52,19.62,366.35,0.0,19.75,11.31,3.6
Mar 2023,13316.0,10873.0,2443.0,18.0,114.0,188.0,236.0,2133.0,20.0,1702.0,16.65,0.0,GODREJCP,12.78,18.35,426.6,0.0,12.99,8.47,-4.54
Mar 2024,14096.0,11139.0,2957.0,21.0,-2209.0,310.0,241.0,198.0,383.0,-561.0,-5.48,0.0,GODREJCP,-3.98,20.98,758.34,0.0,9.54,5.86,-132.96
Mar 2013,27004.0,22784.0,4220.0,16.0,1123.0,26.0,251.0,5066.0,24.0,3839.0,17.71,104.0,HINDUNILVR,14.22,15.63,1215.84,18.42,162.31,,
Mar 2014,29234.0,24475.0,4759.0,16.0,792.0,41.0,296.0,5215.0,24.0,3956.0,18.24,71.0,HINDUNILVR,13.53,16.28,1251.6,12.95,116.07,8.26,3.05
Mar 2015,31972.0,26560.0,5412.0,17.0,1247.0,18.0,322.0,6320.0,31.0,4376.0,20.17,74.0,HINDUNILVR,13.69,16.93,1959.2,14.93,300.67,9.37,10.62
Mar 2016,32186.0,26276.0,5910.0,18.0,486.0,17.0,353.0,6026.0,31.0,4151.0,19.18,83.0,HINDUNILVR,12.9,18.36,1868.06,15.92,347.65,0.67,-5.14
Mar 2017,33162.0,26834.0,6328.0,19.0,606.0,35.0,432.0,6467.0,31.0,4490.0,20.68,82.0,HINDUNILVR,13.54,19.08,2004.77,16.96,180.8,3.03,8.17
Mar 2018,35545.0,28046.0,7499.0,21.0,353.0,26.0,520.0,7306.0,28.0,5227.0,24.09,83.0,HINDUNILVR,14.71,21.1,2045.68,19.99,288.42,7.19,16.41
Mar 2019,39310.0,30430.0,8880.0,23.0,322.0,33.0,565.0,8604.0,30.0,6060.0,27.97,78.0,HINDUNILVR,15.42,22.59,2581.2,21.82,269.09,10.59,15.94
Mar 2020,39783.0,29930.0,9853.0,25.0,432.0,118.0,1002.0,9165.0,26.0,6756.0,31.17,80.0,HINDUNILVR,16.98,24.77,2382.9,24.94,83.5,1.2,11.49
Mar 2021,47028.0,35402.0,11626.0,25.0,170.0,117.0,1074.0,10605.0,25.0,7999.0,34.03,119.0,HINDUNILVR,17.01,24.72,2651.25,40.5,99.37,18.21,18.4
Mar 2022,52446.0,39589.0,12857.0,25.0,219.0,106.0,1091.0,11879.0,25.0,8892.0,37.79,90.0,HINDUNILVR,16.95,24.51,2969.75,34.01,121.29,11.52,11.16
Mar 2023,60580.0,46433.0,14147.0,23.0,448.0,114.0,1137.0,13344.0,24.0,10143.0,43.07,91.0,HINDUNILVR,16.74,23.35,3202.56,39.19,124.1,15.51,14.07
Mar 2024,61896.0,47237.0,14659.0,24.0,817.0,334.0,1216.0,13926.0,26.0,10282.0,43.74,96.0,HINDUNILVR,16.61,23.68,3620.76,41.99,43.89,2.17,1.37
Mar 2013,31618.0,20398.0,11221.0,35.0,852.0,108.0,859.0,11106.0,31.0,7704.0,6.42,55.0,ITC,24.37,35.49,3442.86,3.53,103.9,,
Mar 2014,35306.0,22227.0,13080.0,37.0,966.0,29.0,965.0,13052.0,31.0,9001.0,7.45,54.0,ITC,25.49,37.05,4046.12,4.02,451.03,11.66,16.84
Mar 2015,38817.0,24566.0,14252.0,37.0,1229.0,91.0,1028.0,14362.0,32.0,9779.0,8.04,52.0,ITC,25.19,36.72,4595.84,4.18,156.62,9.94,8.64
Mar 2016,39192.0,24661.0,14531.0,37.0,1483.0,78.0,1077.0,14859.0,36.0,9501.0,7.74,73.0,ITC,24.24,37.08,5349.24,5.65,186.29,0.97,-2.84
Mar 2017,42768.0,27298.0,15470.0,36.0,1759.0,49.0,1153.0,16026.0,35.0,10477.0,8.47,56.0,ITC,24.5,36.17,5609.1,4.74,315.71,9.12,10.27
Mar 2018,43449.0,26928.0,16521.0,38.0,2240.0,115.0,1236.0,17409.0,34.0,11493.0,9.24,56.0,ITC,26.45,38.02,5919.06,5.17,143.66,1.59,9.7
Mar 2019,48340.0,29802.0,18537.0,38.0,2080.0,71.0,1397.0,19150.0,33.0,12836.0,10.27,56.0,ITC,26.55,38.35,6319.5,5.75,261.08,11.26,11.69
Mar 2020,49388.0,30044.0,19344.0,39.0,2417.0,81.0,1645.0,20035.0,22.0,15593.0,12.45,82.0,ITC,31.57,39.17,4407.7,10.21,238.81,2.17,21.48
Mar 2021,49257.0,32193.0,17065.0,35.0,2577.0,58.0,1646.0,17938.0,25.0,13383.0,10.69,101.0,ITC,27.17,34.64,4484.5,10.8,294.22,-0.27,-14.17
Mar 2022,60645.0,40021.0,20623.0,34.0,1910.0,60.0,1732.0,20740.0,25.0,15503.0,12.37,93.0,ITC,25.56,34.01,5185.0,11.5,343.72,23.12,15.84
Mar 2023,70919.0,45215.0,25704.0,36.0,2098.0,78.0,1809.0,25915.0,25.0,19477.0,15.44,100.0,ITC,27.46,36.24,6478.75,15.44,329.54,16.94,25.63
Mar 2024,70866.0,44634.0,26233.0,37.0,2804.0,80.0,1816.0,27140.0,24.0,20751.0,16.39,84.0,ITC,29.28,37.02,6513.6,13.77,327.91,-0.07,6.54
Mar 2013,1107.0,1028.0,79.0,7.0,13.0,68.0,22.0,1.0,-1199.0,16.0,0.61,205.0,JYOTHYLAB,1.45,7.14,-11.99,1.25,1.16,,
Mar 2014,1324.0,1170.0,154.0,12.0,8.0,55.0,24.0,82.0,1.0,81.0,2.25,67.0,JYOTHYLAB,6.12,11.63,0.82,1.51,2.8,19.6,406.25
Mar 2015,1515.0,1350.0,164.0,11.0,6.0,14.0,33.0,125.0,3.0,121.0,3.35,60.0,JYOTHYLAB,7.99,10.83,3.75,2.01,11.71,14.43,49.38
Mar 2016,1593.0,1370.0,223.0,14.0,13.0,62.0,31.0,143.0,48.0,74.0,2.16,116.0,JYOTHYLAB,4.65,14.0,68.64,2.51,3.6,5.15,-38.84
Mar 2017,1683.0,1428.0,255.0,15.0,10.0,56.0,30.0,179.0,-14.0,204.0,5.73,52.0,JYOTHYLAB,12.12,15.15,-25.06,2.98,4.55,5.65,175.68
Mar 2018,1672.0,1415.0,257.0,15.0,62.0,48.0,31.0,241.0,26.0,179.0,5.12,5.0,JYOTHYLAB,10.71,15.37,62.66,0.26,5.35,-0.65,-12.25
Mar 2019,1814.0,1532.0,282.0,16.0,27.0,35.0,31.0,243.0,19.0,198.0,5.59,54.0,JYOTHYLAB,10.92,15.55,46.17,3.02,8.06,8.49,10.61
Mar 2020,1711.0,1460.0,251.0,15.0,16.0,33.0,53.0,182.0,10.0,163.0,4.64,65.0,JYOTHYLAB,9.53,14.67,18.2,3.02,7.61,-5.68,-17.68
Mar 2021,1909.0,1594.0,315.0,16.0,-5.0,19.0,56.0,235.0,19.0,191.0,5.43,74.0,JYOTHYLAB,10.01,16.5,44.65,4.02,16.58,11.57,17.18
Mar 2022,2196.0,1948.0,248.0,11.0,19.0,12.0,58.0,197.0,19.0,159.0,4.41,57.0,JYOTHYLAB,7.24,11.29,37.43,2.51,20.67,15.03,-16.75
Mar 2023,2486.0,2170.0,316.0,13.0,47.0,13.0,50.0,299.0,20.0,240.0,6.53,46.0,JYOTHYLAB,9.65,12.71,59.8,3.0,24.31,13.21,50.94
Mar 2024,2757.0,2277.0,480.0,17.0,54.0,5.0,50.0,479.0,23.0,369.0,10.06,35.0,JYOTHYLAB,13.38,17.41,110.17,3.52,96.0,10.9,53.75
Mar 2013,4596.0,3970.0,626.0,14.0,70.0,58.0,87.0,552.0,26.0,406.0,3.07,16.0,MARICO,8.83,13.62,143.52,0.49,10.79,,
Mar 2014,4687.0,3939.0,748.0,16.0,58.0,34.0,77.0,695.0,27.0,504.0,3.76,46.0,MARICO,10.75,15.96,187.65,1.73,22.0,1.98,24.14
Mar 2015,5733.0,4863.0,870.0,15.0,59.0,23.0,84.0,822.0,29.0,585.0,4.45,28.0,MARICO,10.2,15.18,238.38,1.25,37.83,22.32,16.07
Mar 2016,6017.0,4966.0,1051.0,17.0,93.0,21.0,95.0,1029.0,30.0,723.0,5.51,77.0,MARICO,12.02,17.47,308.7,4.24,50.05,4.95,23.59
Mar 2017,5918.0,4759.0,1159.0,20.0,96.0,17.0,90.0,1149.0,29.0,811.0,6.19,57.0,MARICO,13.7,19.58,333.21,3.53,68.18,-1.65,12.17
Mar 2018,6322.0,5185.0,1137.0,18.0,85.0,16.0,89.0,1117.0,26.0,827.0,6.31,67.0,MARICO,13.08,17.98,290.42,4.23,71.06,6.83,1.97
Mar 2019,7334.0,6009.0,1325.0,18.0,103.0,40.0,131.0,1257.0,10.0,1131.0,8.63,55.0,MARICO,15.42,18.07,125.7,4.75,33.13,16.01,36.76
Mar 2020,7315.0,5846.0,1469.0,20.0,95.0,50.0,140.0,1374.0,24.0,1043.0,7.91,85.0,MARICO,14.26,20.08,329.76,6.72,29.38,-0.26,-7.78
Mar 2021,8048.0,6459.0,1589.0,20.0,107.0,34.0,139.0,1523.0,21.0,1199.0,9.08,83.0,MARICO,14.9,19.74,319.83,7.54,46.74,10.02,14.96
Mar 2022,9512.0,7831.0,1681.0,18.0,98.0,39.0,139.0,1601.0,22.0,1255.0,9.48,97.0,MARICO,13.19,17.67,352.22,9.2,43.1,18.19,4.67
Mar 2023,9764.0,7954.0,1810.0,19.0,144.0,56.0,155.0,1743.0,24.0,1322.0,10.07,45.0,MARICO,13.54,18.54,418.32,4.53,32.32,2.65,5.34
Mar 2024,9653.0,7627.0,2026.0,21.0,142.0,73.0,158.0,1937.0,22.0,1502.0,11.44,83.0,MARICO,15.56,20.99,426.14,9.5,27.75,-1.14,13.62
Mar 2013,7351.0,6581.0,770.0,10.0,56.0,84.0,105.0,637.0,26.0,445.0,5.81,36.0,TATACONSUM,6.05,10.47,165.62,2.09,9.17,,
Mar 2014,7738.0,6986.0,752.0,10.0,170.0,87.0,129.0,707.0,26.0,510.0,7.48,29.0,TATACONSUM,6.59,9.72,183.82,2.17,8.64,5.26,14.61
Mar 2015,7993.0,7201.0,792.0,10.0,-77.0,82.0,133.0,500.0,43.0,273.0,3.86,6.0,TATACONSUM,3.42,9.91,215.0,0.23,9.66,3.3,-46.47
Mar 2016,6637.0,6271.0,366.0,6.0,38.0,117.0,117.0,170.0,118.0,-37.0,-0.08,-2572.0,TATACONSUM,-0.56,5.51,200.6,2.06,3.13,-16.96,-113.55
Mar 2017,6780.0,5988.0,791.0,12.0,88.0,92.0,126.0,662.0,30.0,455.0,5.94,38.0,TATACONSUM,6.71,11.67,198.6,2.26,8.6,2.15,-1329.73
Mar 2018,6815.0,5976.0,839.0,12.0,73.0,43.0,116.0,753.0,25.0,556.0,7.56,30.0,TATACONSUM,8.16,12.31,188.25,2.27,19.51,0.52,22.2
Mar 2019,7252.0,6466.0,786.0,11.0,124.0,52.0,123.0,735.0,36.0,457.0,6.23,39.0,TATACONSUM,6.3,10.84,264.6,2.43,15.12,6.41,-17.81
Mar 2020,9637.0,8345.0,1292.0,13.0,-163.0,78.0,242.0,809.0,34.0,460.0,4.8,54.0,TATACONSUM,4.77,13.41,275.06,2.59,16.56,32.89,0.66
Mar 2021,11602.0,10058.0,1544.0,13.0,91.0,69.0,255.0,1311.0,24.0,930.0,8.95,44.0,TATACONSUM,8.02,13.31,314.64,3.94,22.38,20.39,102.17
Mar 2022,12425.0,10707.0,1719.0,14.0,88.0,73.0,278.0,1456.0,26.0,1015.0,9.78,60.0,TATACONSUM,8.17,13.84,378.56,5.87,23.55,7.09,9.14
Mar 2023,13783.0,11927.0,1856.0,13.0,328.0,87.0,304.0,1794.0,25.0,1320.0,12.48,65.0,TATACONSUM,9.58,13.47,448.5,8.11,21.33,10.93,30.05
Mar 2024,15206.0,12922.0,2284.0,15.0,-81.0,130.0,377.0,1696.0,23.0,1215.0,11.63,64.0,TATACONSUM,7.99,15.02,390.08,7.44,17.57,10.32,-7.95
Mar 2013,388.0,291.0,97.0,25.0,16.0,0.0,4.0,108.0,8.0,99.0,24.85,24.0,ZYDUSWELL,25.52,25.0,8.64,5.96,,,
Mar 2014,404.0,319.0,85.0,21.0,19.0,0.0,0.0,104.0,5.0,98.0,24.69,24.0,ZYDUSWELL,24.26,21.04,5.2,5.93,,4.12,-1.01
Mar 2015,431.0,331.0,100.0,23.0,28.0,0.0,8.0,120.0,7.0,111.0,27.88,22.0,ZYDUSWELL,25.75,23.2,8.4,6.13,,6.68,13.27
Mar 2016,397.0,305.0,91.0,23.0,32.0,0.0,7.0,117.0,10.0,105.0,26.43,25.0,ZYDUSWELL,26.45,22.92,11.7,6.61,,-7.89,-5.41
Mar 2017,431.0,331.0,99.0,23.0,32.0,1.0,7.0,124.0,10.0,111.0,27.89,23.0,ZYDUSWELL,25.75,22.97,12.4,6.41,99.0,8.56,5.71
Mar 2018,513.0,387.0,125.0,24.0,35.0,2.0,9.0,150.0,9.0,137.0,34.27,23.0,ZYDUSWELL,26.71,24.37,13.5,7.88,62.5,19.03,23.42
Mar 2019,843.0,658.0,185.0,22.0,28.0,30.0,13.0,171.0,0.0,171.0,29.33,17.0,ZYDUSWELL,20.28,21.95,0.0,4.99,6.17,64.33,24.82
Mar 2020,1767.0,1446.0,321.0,18.0,-33.0,140.0,26.0,121.0,-17.0,142.0,24.58,20.0,ZYDUSWELL,8.04,18.17,-20.57,4.92,2.29,109.61,-16.96
Mar 2021,1867.0,1522.0,344.0,18.0,-123.0,84.0,25.0,112.0,-6.0,119.0,18.66,27.0,ZYDUSWELL,6.37,18.43,-6.72,5.04,4.1,5.66,-16.2
Mar 2022,2009.0,1664.0,345.0,17.0,10.0,26.0,24.0,306.0,-1.0,309.0,48.54,10.0,ZYDUSWELL,15.38,17.17,-3.06,4.85,13.27,7.61,159.66
Mar 2023,2255.0,1918.0,337.0,15.0,-5.0,16.0,25.0,291.0,-7.0,310.0,48.78,10.0,ZYDUSWELL,13.75,14.94,-20.37,4.88,21.06,12.24,0.32
Mar 2024,2328.0,2020.0,308.0,13.0,0.0,24.0,24.0,260.0,-3.0,267.0,41.94,12.0,ZYDUSWELL,11.47,13.23,-7.8,5.03,12.83,3.24,-13.87
